paper_id,title,year,subfield,source,source_url,arxiv_id_or_doi,why_selected,difficulty_level,has_blog_or_explainer,notes
cv-07,Masked Autoencoders Are Scalable Vision Learners,2021,cv,arXiv,https://arxiv.org/abs/2111.06377,2111.06377,Clear self-supervised objective and transfer evidence,medium,yes,Useful ablation examples
ml-01,A Few Useful Things to Know about Machine Learning,2012,ml,Communications of the ACM,https://homes.cs.washington.edu/~pedrod/papers/cacm12.pdf,10.1145/2347736.2347755,Accessible treatment of general ML pitfalls,medium,no,Methodological rather than benchmark paper
ml-02,Random Forests,2001,ml,Machine Learning,https://doi.org/10.1023/A:1010933404324,10.1023/A:1010933404324,Influential ensemble method,medium,yes,Useful classical ML balance
ml-03,XGBoost: A Scalable Tree Boosting System,2016,ml,ACM,https://arxiv.org/abs/1603.02754,1603.02754,Representative scalable tabular ML,hard,yes,Strong systems feasibility content
ml-04,Model Cards for Model Reporting,2018,ml,arXiv,https://arxiv.org/abs/1810.03993,1810.03993,Practical model documentation framework,easy,yes,Good risk explanation target
ml-05,Datasheets for Datasets,2018,ml,arXiv,https://arxiv.org/abs/1803.09010,1803.09010,Influential dataset documentation proposal,easy,yes,Supports data limitations reasoning
rl-01,Human-level control through deep reinforcement learning,2015,rl,Nature,https://doi.org/10.1038/nature14236,10.1038/nature14236,Landmark deep RL paper,hard,yes,Headline requires careful qualification
rl-02,Proximal Policy Optimization Algorithms,2017,rl,arXiv,https://arxiv.org/abs/1707.06347,1707.06347,Widely used policy optimization method,hard,yes,Clear stability motivation
rl-03,Mastering the game of Go with deep neural networks and tree search,2016,rl,Nature,https://doi.org/10.1038/nature16961,10.1038/nature16961,Influential search and RL combination,hard,yes,Strong evidence and resource discussion
rl-04,Playing Atari with Deep Reinforcement Learning,2013,rl,arXiv,https://arxiv.org/abs/1312.5602,1312.5602,Foundational DQN preprint,hard,yes,Clear problem setup
rl-05,Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor,2018,rl,arXiv,https://arxiv.org/abs/1801.01290,1801.01290,Representative continuous-control algorithm,hard,yes,Rich technical terms and comparisons
mm-01,Learning Transferable Visual Models From Natural Language Supervision,2021,multimodal,arXiv,https://arxiv.org/abs/2103.00020,2103.00020,Influential image-text contrastive learning paper,medium,yes,Strong limitations discussion
mm-02,DALL-E: Zero-Shot Text-to-Image Generation,2021,multimodal,arXiv,https://arxiv.org/abs/2102.12092,2102.12092,Representative text-to-image generation,hard,yes,Clear generative method
mm-03,Flamingo: a Visual Language Model for Few-Shot Learning,2022,multimodal,arXiv,https://arxiv.org/abs/2204.14198,2204.14198,Representative visual-language few-shot model,hard,yes,Useful feasibility tradeoffs
mm-04,High-Resolution Image Synthesis with Latent Diffusion Models,2021,multimodal,arXiv,https://arxiv.org/abs/2112.10752,2112.10752,Influential efficient diffusion method,hard,yes,Clear compute-quality motivation
mm-05,Visual Instruction Tuning,2023,multimodal,arXiv,https://arxiv.org/abs/2304.08485,2304.08485,Representative multimodal instruction tuning,medium,yes,Good synthetic-data caveats

